pathway	n_rows	n_unique_proteins	n_unique_domain_types	pct_filled_positional_category	pct_filled_topology_context	pct_filled_proximity_categories	pct_filled_copy_number_property	pct_filled_function_tags	pct_filled_binding_parnter	pct_filled_binding_partner	n_unique_terms_positional_category	n_unique_terms_topology_context	n_unique_terms_proximity_categories	n_unique_terms_copy_number_property	n_unique_terms_function_tags	n_unique_terms_binding_parnter	n_unique_terms_binding_partner	cv_backed_rate_positional_category	cv_backed_rate_topology_context	cv_backed_rate_proximity_categories	cv_backed_rate_copy_number_property	cv_backed_rate_function_tags	cv_backed_rate_binding_parnter	cv_backed_rate_binding_partner	schema_coverage_pct
cAMP	473	142	157	100.0	100.0	49.5		100.0		100.0	3	5	3	0	32	0	99	100.0	100.0	100.0		100.0		100.0	88.9
otherPathway	269	60	58	100.0	100.0	44.6		100.0		100.0	3	5	2	0	25	0	48	100.0	100.0	100.0		100.0		100.0	88.9
