species	n_rows	n_unique_proteins	n_unique_domain_types	schema_coverage_pct	pct_filled_positional_category	n_unique_terms_positional_category	pct_filled_topology_context	n_unique_terms_topology_context	pct_filled_proximity_categories	n_unique_terms_proximity_categories	pct_filled_copy_number	n_unique_terms_copy_number	pct_filled_function_tags	n_unique_terms_function_tags	pct_filled_binding_parnter	n_unique_terms_binding_parnter	pct_filled_binding_partner	n_unique_terms_binding_partner	cv_backed_rate_positional_category	cv_backed_rate_topology_context	cv_backed_rate_proximity_categories	cv_backed_rate_copy_number	cv_backed_rate_function_tags	cv_backed_rate_binding_parnter	cv_backed_rate_binding_partner	n_domain_type_INTERPRO
cAMP_human	473	142	157	100.0	100.0	3	100.0	5	49.5	3	100.0	4	100.0	32		0	100.0	99	100.0	100.0	100.0	100.0	100.0		100.0	473
cAMP_mouse	435	134	152	100.0	100.0	3	100.0	6	50.6	3	100.0	4	100.0	32		0	100.0	68	100.0	99.8	100.0	100.0	100.0		100.0	435
